freq,power
8338,4.12E-05
8338.5,2.96E-05
8339,4.01E-05
8339.5,2.87E-05
8340,3.12E-05
8340.5,4.47E-05
8341,2.71E-05
8341.5,2.02E-05
8342,2.55E-05
8342.5,2.21E-05
8343,2.88E-05
8343.5,4.27E-05
8344,3.39E-05
8344.5,3.62E-05
8345,3.31E-05
8345.5,3.50E-05
8346,3.45E-05
8346.5,2.02E-05
8347,1.34E-05
8347.5,2.19E-05
8348,3.74E-05
8348.5,3.03E-05
8349,5.24E-05
8349.5,4.39E-05
8350,5.34E-05
8350.5,4.04E-05
8351,4.14E-05
8351.5,4.07E-05
8352,2.94E-05
8352.5,3.14E-05
8353,4.05E-05
8353.5,4.99E-05
8354,5.78E-05
8354.5,6.35E-05
8355,4.53E-05
8355.5,1.64E-05
8356,1.82E-05
8356.5,2.13E-05
8357,2.31E-05
8357.5,1.72E-05
8358,1.74E-05
8358.5,3.03E-05
8359,5.11E-05
8359.5,4.31E-05
8360,1.43E-05
8360.5,2.78E-05
8361,4.17E-05
8361.5,4.45E-05
8362,2.11E-05
8362.5,1.60E-05
8363,2.01E-05
8363.5,1.58E-05
8364,2.72E-05
8364.5,2.90E-05
8365,2.83E-05
8365.5,3.11E-05
8366,2.16E-05
8366.5,3.17E-05
8367,3.58E-05
8367.5,1.91E-05
8368,3.98E-05
8368.5,4.16E-05
8369,2.69E-05
8369.5,2.19E-05
8370,1.21E-05
8370.5,1.98E-05
8371,3.67E-05
8371.5,4.23E-05
8372,2.75E-05
8372.5,2.19E-05
8373,3.19E-05
8373.5,2.27E-05
8374,1.84E-05
8374.5,2.60E-05
8375,1.81E-05
8375.5,1.33E-05
8376,1.74E-05
8376.5,1.10E-05
8377,2.22E-05
8377.5,1.97E-05
8378,1.07E-05
8378.5,1.01E-05
8379,1.08E-05
8379.5,2.86E-05
8380,2.47E-05
8380.5,2.48E-05
8381,2.00E-05
8381.5,1.77E-05
8382,1.02E-05
8382.5,2.69E-05
8383,3.82E-05
8383.5,2.14E-05
8384,2.47E-05
8384.5,2.67E-05
8385,2.80E-05
8385.5,1.78E-05
8386,1.74E-05
8386.5,2.99E-05
8387,2.56E-05
8387.5,1.78E-05
8388,1.32E-05
8388.5,2.13E-05
8389,1.59E-05
8389.5,1.47E-05
8390,2.32E-05
8390.5,2.07E-05
8391,2.24E-05
8391.5,3.24E-05
8392,2.26E-05
8392.5,2.73E-05
8393,2.39E-05
8393.5,2.25E-05
